datetime,total_tweets,total_climate_tweets,high_engagement_climate_tweets,week,year,week_id
2018-08-26 00:00:00+00:00,20292,1,0.0,34,2018,2018_34
2018-09-02 00:00:00+00:00,19433,0,0.0,35,2018,2018_35
2018-09-09 00:00:00+00:00,20098,7,5.0,36,2018,2018_36
2018-09-16 00:00:00+00:00,20933,2,0.0,37,2018,2018_37
2018-09-23 00:00:00+00:00,20600,0,0.0,38,2018,2018_38
2018-09-30 00:00:00+00:00,20058,0,0.0,39,2018,2018_39
2018-10-07 00:00:00+00:00,19748,0,0.0,40,2018,2018_40
2018-10-14 00:00:00+00:00,19913,5,1.0,41,2018,2018_41
2018-10-21 00:00:00+00:00,19517,3,0.0,42,2018,2018_42
2018-10-28 00:00:00+00:00,20158,1,0.0,43,2018,2018_43
2018-11-04 00:00:00+00:00,20728,5,0.0,44,2018,2018_44
2018-11-11 00:00:00+00:00,21774,0,0.0,45,2018,2018_45
2018-11-18 00:00:00+00:00,21327,22,5.0,46,2018,2018_46
2018-11-25 00:00:00+00:00,20299,5,0.0,47,2018,2018_47
2018-12-02 00:00:00+00:00,21411,12,8.0,48,2018,2018_48
2018-12-09 00:00:00+00:00,21213,7,2.0,49,2018,2018_49
2018-12-16 00:00:00+00:00,21100,13,4.0,50,2018,2018_50
2018-12-23 00:00:00+00:00,20405,7,2.0,51,2018,2018_51
2018-12-30 00:00:00+00:00,15936,0,0.0,52,2018,2018_52
2019-01-06 00:00:00+00:00,18188,0,0.0,1,2019,2019_1
2019-01-13 00:00:00+00:00,21291,0,0.0,2,2019,2019_2
2019-01-20 00:00:00+00:00,21898,4,3.0,3,2019,2019_3
2019-01-27 00:00:00+00:00,21436,10,6.0,4,2019,2019_4
2019-02-03 00:00:00+00:00,20576,5,3.0,5,2019,2019_5
2019-02-10 00:00:00+00:00,20775,7,4.0,6,2019,2019_6
2019-02-17 00:00:00+00:00,20439,40,17.0,7,2019,2019_7
2019-02-24 00:00:00+00:00,20005,7,3.0,8,2019,2019_8
2019-03-03 00:00:00+00:00,20481,7,1.0,9,2019,2019_9
2019-03-10 00:00:00+00:00,19896,4,2.0,10,2019,2019_10
2019-03-17 00:00:00+00:00,19729,41,18.0,11,2019,2019_11
2019-03-24 00:00:00+00:00,19877,3,2.0,12,2019,2019_12
2019-03-31 00:00:00+00:00,19877,2,0.0,13,2019,2019_13
2019-04-07 00:00:00+00:00,19458,7,0.0,14,2019,2019_14
2019-04-14 00:00:00+00:00,19600,6,2.0,15,2019,2019_15
2019-04-21 00:00:00+00:00,19103,101,24.0,16,2019,2019_16
2019-04-28 00:00:00+00:00,19664,43,12.0,17,2019,2019_17
2019-05-05 00:00:00+00:00,20243,9,2.0,18,2019,2019_18
2019-05-12 00:00:00+00:00,20202,8,4.0,19,2019,2019_19
2019-05-19 00:00:00+00:00,20297,3,0.0,20,2019,2019_20
2019-05-26 00:00:00+00:00,20560,25,10.0,21,2019,2019_21
2019-06-02 00:00:00+00:00,19637,13,3.0,22,2019,2019_22
2019-06-09 00:00:00+00:00,20210,14,3.0,23,2019,2019_23
2019-06-16 00:00:00+00:00,19414,1,0.0,24,2019,2019_24
2019-06-23 00:00:00+00:00,19588,17,7.0,25,2019,2019_25
2019-06-30 00:00:00+00:00,20432,22,4.0,26,2019,2019_26
2019-07-07 00:00:00+00:00,18960,3,0.0,27,2019,2019_27
2019-07-14 00:00:00+00:00,19009,1,0.0,28,2019,2019_28
2019-07-21 00:00:00+00:00,19477,14,5.0,29,2019,2019_29
2019-07-28 00:00:00+00:00,19958,23,14.0,30,2019,2019_30
2019-08-04 00:00:00+00:00,19532,4,3.0,31,2019,2019_31
2019-08-11 00:00:00+00:00,19379,6,4.0,32,2019,2019_32
2019-08-18 00:00:00+00:00,18487,15,12.0,33,2019,2019_33
2019-08-25 00:00:00+00:00,19335,1,1.0,34,2019,2019_34
2019-09-01 00:00:00+00:00,18821,19,17.0,35,2019,2019_35
2019-09-08 00:00:00+00:00,19067,3,1.0,36,2019,2019_36
2019-09-15 00:00:00+00:00,19691,29,11.0,37,2019,2019_37
2019-09-22 00:00:00+00:00,19799,129,62.0,38,2019,2019_38
2019-09-29 00:00:00+00:00,20096,94,54.0,39,2019,2019_39
2019-10-06 00:00:00+00:00,19493,30,13.0,40,2019,2019_40
2019-10-13 00:00:00+00:00,19864,85,25.0,41,2019,2019_41
2019-10-20 00:00:00+00:00,20540,39,11.0,42,2019,2019_42
2019-10-27 00:00:00+00:00,20213,18,13.0,43,2019,2019_43
2019-11-03 00:00:00+00:00,20137,52,17.0,44,2019,2019_44
